,Education,Marital_Status,Income,Recency,Complain,Response,Age,Children,Total_spent,Total_no_purchase,TotalAcceptedCmp,km_clust
0,3,0,58138.0,58,0,1,64,0,1617,25,1,3
1,3,0,46344.0,38,0,0,67,2,27,6,0,1
2,3,1,71613.0,26,0,0,56,0,776,21,0,3
3,3,1,26646.0,26,0,0,37,1,53,8,0,1
4,2,1,58293.0,94,0,0,40,1,422,19,0,0
5,1,1,62513.0,16,0,0,54,1,716,22,0,0
6,3,0,55635.0,34,0,0,50,1,590,21,0,0
7,2,1,33454.0,32,0,0,36,1,169,10,0,1
8,2,1,30351.0,19,0,1,47,1,46,6,1,1
9,2,1,5648.0,68,0,0,71,2,49,2,1,1
10,0,1,7500.0,59,0,0,45,0,61,6,0,1
11,3,0,63033.0,82,0,0,62,0,1102,16,0,3
12,1,0,59354.0,53,0,0,69,2,310,15,0,1
13,3,1,17323.0,38,0,0,34,0,46,5,0,1
14,2,0,82800.0,23,0,1,75,0,1315,26,3,2
15,3,1,41850.0,51,0,0,41,2,96,9,0,1
16,3,1,37760.0,20,0,0,75,0,317,13,0,1
17,1,1,76995.0,91,0,0,72,1,1782,26,1,0
18,1,0,33812.0,86,0,0,36,1,133,8,0,1
19,3,1,37040.0,41,0,0,39,0,316,12,0,1
20,3,1,2447.0,42,0,0,42,1,1730,43,0,3
21,2,1,58607.0,63,0,0,72,1,972,17,1,0
22,2,1,65324.0,0,0,0,67,1,544,20,0,0
23,3,1,40689.0,69,0,0,70,1,444,20,0,0
24,3,0,18589.0,89,0,0,52,0,75,8,0,1
25,3,1,53359.0,4,0,0,45,2,257,14,0,1
26,3,1,38360.0,26,0,0,32,1,131,9,0,1
27,2,1,84618.0,96,0,0,56,0,1672,26,1,3
28,1,0,10979.0,34,0,0,32,0,30,8,0,1
29,1,1,38620.0,56,0,0,58,0,318,11,0,1
30,3,1,40548.0,31,0,0,51,1,120,9,1,1
31,2,0,46610.0,8,0,1,69,2,302,17,1,0
32,1,1,68657.0,4,0,0,75,0,1196,18,0,3
33,1,0,49389.0,55,0,0,70,2,65,6,0,1
34,2,1,67353.0,37,0,0,51,1,913,28,0,0
35,1,1,23718.0,76,0,0,45,1,81,9,0,1
36,3,0,42429.0,99,0,0,48,1,67,7,0,1
37,2,0,48948.0,53,0,1,78,0,902,24,2,3
38,3,1,80011.0,3,0,0,41,1,1395,21,0,3
39,1,1,20559.0,88,0,0,36,1,53,7,0,1
40,3,1,21994.0,4,0,0,64,1,22,4,0,1
41,1,1,7500.0,19,0,0,46,1,31,8,0,1
42,3,0,79941.0,72,0,0,45,0,984,16,0,3
43,1,1,7500.0,24,0,1,25,0,122,10,1,1
44,3,1,41728.0,92,0,0,53,1,55,5,0,1
45,2,1,72550.0,39,0,0,67,2,1319,28,0,0
46,3,0,65486.0,29,0,0,64,1,507,17,0,0
47,1,1,79143.0,2,0,0,57,0,1693,29,0,3
48,3,0,35790.0,54,0,0,44,1,72,7,0,1
49,3,0,82582.0,54,0,1,44,0,1617,21,3,2
50,3,1,66373.0,57,0,0,43,2,606,23,0,0
51,1,1,82384.0,55,0,1,66,0,1957,27,2,2
52,3,0,70287.0,30,0,1,55,0,1093,21,1,3
53,3,0,27938.0,31,0,0,33,1,29,6,0,1
54,2,1,55954.0,63,0,0,53,1,518,19,0,0
55,1,0,75777.0,12,0,1,39,0,1438,21,3,2
56,3,1,66653.0,18,0,0,46,2,612,22,0,0
57,3,0,61823.0,26,0,0,69,1,884,24,0,0
58,2,0,67680.0,8,0,0,70,1,606,19,0,0
59,3,1,70666.0,29,0,0,73,0,1076,16,0,3
60,3,1,25721.0,75,0,1,50,1,34,5,1,1
61,3,1,32474.0,0,0,0,54,2,11,4,0,1
62,1,0,88194.0,19,0,1,42,1,1274,32,3,2
63,3,1,69096.0,4,0,0,63,1,653,18,0,0
64,3,1,74854.0,90,0,0,51,3,1562,19,0,0
65,1,1,66991.0,1,0,0,67,0,1253,21,0,3
66,3,1,65031.0,29,0,0,62,1,863,30,0,0
67,2,1,60631.0,88,0,0,46,2,661,24,1,0
68,3,1,28332.0,58,0,0,69,0,65,8,0,1
69,3,0,40246.0,68,0,0,44,1,13,4,0,1
70,1,1,75251.0,34,0,1,49,0,1890,19,1,3
71,3,0,75825.0,40,0,1,45,0,2209,22,2,3
72,1,1,26326.0,12,1,0,45,0,18,4,0,1
